Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,PM2.5,01/01/2016 00:00,243.00000,ug m-3,R
CT3,PM2.5,01/01/2016 01:00,19.00000,ug m-3,R
CT3,PM2.5,01/01/2016 02:00,18.00000,ug m-3,R
CT3,PM2.5,01/01/2016 03:00,25.00000,ug m-3,R
CT3,PM2.5,01/01/2016 04:00,21.00000,ug m-3,R
CT3,PM2.5,01/01/2016 05:00,16.00000,ug m-3,R
CT3,PM2.5,01/01/2016 06:00,18.00000,ug m-3,R
CT3,PM2.5,01/01/2016 07:00,17.00000,ug m-3,R
CT3,PM2.5,01/01/2016 08:00,11.00000,ug m-3,R
CT3,PM2.5,01/01/2016 09:00,11.00000,ug m-3,R
CT3,PM2.5,01/01/2016 10:00,8.00000,ug m-3,R
CT3,PM2.5,01/01/2016 11:00,15.00000,ug m-3,R
CT3,PM2.5,01/01/2016 12:00,11.00000,ug m-3,R
CT3,PM2.5,01/01/2016 13:00,11.00000,ug m-3,R
CT3,PM2.5,01/01/2016 14:00,10.00000,ug m-3,R
CT3,PM2.5,01/01/2016 15:00,11.00000,ug m-3,R
CT3,PM2.5,01/01/2016 16:00,10.00000,ug m-3,R
CT3,PM2.5,01/01/2016 17:00,15.00000,ug m-3,R
CT3,PM2.5,01/01/2016 18:00,13.00000,ug m-3,R
CT3,PM2.5,01/01/2016 19:00,14.00000,ug m-3,R
CT3,PM2.5,01/01/2016 20:00,9.00000,ug m-3,R
CT3,PM2.5,01/01/2016 21:00,8.00000,ug m-3,R
CT3,PM2.5,01/01/2016 22:00,9.00000,ug m-3,R
CT3,PM2.5,01/01/2016 23:00,9.00000,ug m-3,R
CT3,PM2.5,02/01/2016 00:00,11.00000,ug m-3,R
CT3,PM2.5,02/01/2016 01:00,9.00000,ug m-3,R
CT3,PM2.5,02/01/2016 02:00,8.00000,ug m-3,R
CT3,PM2.5,02/01/2016 03:00,9.00000,ug m-3,R
CT3,PM2.5,02/01/2016 04:00,8.00000,ug m-3,R
CT3,PM2.5,02/01/2016 05:00,12.00000,ug m-3,R
CT3,PM2.5,02/01/2016 06:00,12.00000,ug m-3,R
CT3,PM2.5,02/01/2016 07:00,10.00000,ug m-3,R
CT3,PM2.5,02/01/2016 08:00,8.00000,ug m-3,R
CT3,PM2.5,02/01/2016 09:00,9.00000,ug m-3,R
CT3,PM2.5,02/01/2016 10:00,12.00000,ug m-3,R
CT3,PM2.5,02/01/2016 11:00,11.00000,ug m-3,R
CT3,PM2.5,02/01/2016 12:00,10.00000,ug m-3,R
CT3,PM2.5,02/01/2016 13:00,8.00000,ug m-3,R
CT3,PM2.5,02/01/2016 14:00,5.00000,ug m-3,R
CT3,PM2.5,02/01/2016 15:00,3.00000,ug m-3,R
CT3,PM2.5,02/01/2016 16:00,8.00000,ug m-3,R
CT3,PM2.5,02/01/2016 17:00,11.00000,ug m-3,R
CT3,PM2.5,02/01/2016 18:00,7.00000,ug m-3,R
CT3,PM2.5,02/01/2016 19:00,4.00000,ug m-3,R
CT3,PM2.5,02/01/2016 20:00,3.00000,ug m-3,R
CT3,PM2.5,02/01/2016 21:00,2.00000,ug m-3,R
CT3,PM2.5,02/01/2016 22:00,6.00000,ug m-3,R
CT3,PM2.5,02/01/2016 23:00,6.00000,ug m-3,R
CT3,PM2.5,03/01/2016 00:00,8.00000,ug m-3,R
CT3,PM2.5,03/01/2016 01:00,7.00000,ug m-3,R
CT3,PM2.5,03/01/2016 02:00,4.00000,ug m-3,R
CT3,PM2.5,03/01/2016 03:00,5.00000,ug m-3,R
CT3,PM2.5,03/01/2016 04:00,4.00000,ug m-3,R
CT3,PM2.5,03/01/2016 05:00,3.00000,ug m-3,R
CT3,PM2.5,03/01/2016 06:00,6.00000,ug m-3,R
CT3,PM2.5,03/01/2016 07:00,5.00000,ug m-3,R
CT3,PM2.5,03/01/2016 08:00,8.00000,ug m-3,R
CT3,PM2.5,03/01/2016 09:00,6.00000,ug m-3,R
CT3,PM2.5,03/01/2016 10:00,5.00000,ug m-3,R
CT3,PM2.5,03/01/2016 11:00,4.00000,ug m-3,R
